,Insurance,Policy Holders,Premium Amounts,Claim Amounts,Premium Type,Insurance Year,Casualty Year,Casualty Month,Total Vehicles Crashed,Sex,Age
7474,The Oriental Insurance Company,2209,31263.0,64092.0,Commercial Insurance Premium,2018,2019,April,8,Male,26
7475,The New India Assurance,2709,20710.0,74635.0,Commercial Insurance Premium,2017,2018,August,8,Female,50
7476,ICICI Lombard General Insurance,4547,22992.0,92237.0,Personal Insurance Premium,2017,2018,July,7,Female,39
7477,ICICI Lombard General Insurance,3663,37072.0,93627.0,Personal Insurance Premium,2017,2018,November,8,Male,76
7479,The Oriental Insurance Company,3402,27921.0,39826.0,Commercial Insurance Premium,2017,2018,June,6,Male,50
7480,The Oriental Insurance Company,1193,33865.0,31393.0,Commercial Insurance Premium,2014,2015,February,6,Female,63
7481,TATA AIG General Insurance,4088,20277.0,40222.0,Personal Insurance Premium,2015,2016,December,7,Male,43
7482,The New India Assurance,2859,25077.0,38160.0,Commercial Insurance Premium,2016,2017,February,6,Male,24
7483,TATA AIG General Insurance,3728,48294.0,89799.0,Commercial Insurance Premium,2017,2018,August,1,Male,62
7484,ICICI Lombard General Insurance,3803,37330.0,39108.0,Commercial Insurance Premium,2018,2019,March,6,Male,47
7485,TATA AIG General Insurance,4962,49771.0,23492.0,Commercial Insurance Premium,2018,2019,November,5,Male,59
7486,The New India Assurance,4898,39048.0,74375.0,Personal Insurance Premium,2016,2017,April,6,Male,60
7487,ICICI Lombard General Insurance,3658,32031.0,66901.0,Commercial Insurance Premium,2018,2019,October,9,Male,42
7488,The Oriental Insurance Company,2263,45145.0,46732.0,Personal Insurance Premium,2016,2017,September,8,Female,72
7489,The Oriental Insurance Company,2290,48328.0,64646.0,Commercial Insurance Premium,2014,2015,January,1,Male,21
7490,ICICI Lombard General Insurance,4380,45993.0,85828.0,Personal Insurance Premium,2015,2016,September,8,Female,55
7491,The Oriental Insurance Company,3175,41114.0,84542.0,Commercial Insurance Premium,2017,2018,April,2,Female,55
7492,TATA AIG General Insurance,2186,22291.0,49359.0,Personal Insurance Premium,2014,2015,November,1,Female,70
7493,The Oriental Insurance Company,1645,37370.0,89646.0,Commercial Insurance Premium,2016,2017,March,6,Female,37
7497,ICICI Lombard General Insurance,3826,31322.0,37879.0,Commercial Insurance Premium,2016,2017,August,4,Male,57
7498,The Oriental Insurance Company,2619,22887.0,69839.0,Commercial Insurance Premium,2018,2019,May,10,Male,31
7499,HDFC ERGO General Insurance,3352,42883.0,47085.0,Personal Insurance Premium,2016,2017,October,3,Male,29
7500,The Oriental Insurance Company,4141,33421.0,74741.0,Personal Insurance Premium,2015,2016,August,7,Female,52
7501,The Oriental Insurance Company,2468,33432.0,54949.0,Commercial Insurance Premium,2014,2015,February,7,Female,52
7503,HDFC ERGO General Insurance,3560,43085.0,37912.0,Personal Insurance Premium,2015,2016,March,4,Female,39
7504,HDFC ERGO General Insurance,4736,32295.0,57273.0,Personal Insurance Premium,2015,2016,August,8,Female,73
7505,HDFC ERGO General Insurance,2105,42308.0,20758.0,Commercial Insurance Premium,2015,2016,August,6,Male,43
7506,The Oriental Insurance Company,3863,20843.0,65323.0,Personal Insurance Premium,2018,2019,April,2,Female,66
7507,The New India Assurance,1376,40037.0,24765.0,Commercial Insurance Premium,2016,2017,November,6,Female,24
7508,ICICI Lombard General Insurance,2427,20772.0,57443.0,Personal Insurance Premium,2018,2019,August,4,Male,77
7510,HDFC ERGO General Insurance,1348,40405.0,59123.0,Personal Insurance Premium,2015,2016,May,8,Male,62
7511,The Oriental Insurance Company,1955,36886.0,64481.0,Commercial Insurance Premium,2018,2019,December,2,Male,61
7512,ICICI Lombard General Insurance,4909,23222.0,86982.0,Commercial Insurance Premium,2018,2019,March,8,Female,33
7513,The Oriental Insurance Company,4842,40286.0,89310.0,Personal Insurance Premium,2016,2017,September,5,Female,34
7514,ICICI Lombard General Insurance,2240,46540.0,72672.0,Personal Insurance Premium,2014,2015,August,10,Female,71
7515,ICICI Lombard General Insurance,4576,21009.0,56151.0,Commercial Insurance Premium,2014,2015,July,8,Male,64
7516,HDFC ERGO General Insurance,4173,32822.0,20478.0,Personal Insurance Premium,2018,2019,August,1,Female,68
7517,The New India Assurance,3073,36125.0,59263.0,Personal Insurance Premium,2014,2015,April,8,Male,62
7520,TATA AIG General Insurance,2616,42001.0,76033.0,Personal Insurance Premium,2014,2015,November,3,Female,73
7522,The Oriental Insurance Company,2502,44487.0,85473.0,Personal Insurance Premium,2016,2017,July,1,Female,46
7523,TATA AIG General Insurance,3355,23508.0,58978.0,Personal Insurance Premium,2017,2018,February,1,Female,64
7524,The Oriental Insurance Company,2410,32651.0,78475.0,Commercial Insurance Premium,2016,2017,August,4,Female,72
7525,HDFC ERGO General Insurance,2203,33789.0,78304.0,Commercial Insurance Premium,2016,2017,January,9,Female,56
7526,HDFC ERGO General Insurance,4963,31668.0,34336.0,Personal Insurance Premium,2014,2015,December,10,Female,73
7527,HDFC ERGO General Insurance,1257,47349.0,56561.0,Commercial Insurance Premium,2017,2018,June,4,Female,20
7528,HDFC ERGO General Insurance,4593,43839.0,72370.0,Personal Insurance Premium,2018,2019,July,10,Male,28
7530,TATA AIG General Insurance,4377,47069.0,40912.0,Personal Insurance Premium,2016,2017,November,8,Female,28
7531,The Oriental Insurance Company,4274,39765.0,97155.0,Personal Insurance Premium,2017,2018,June,5,Female,67
7532,The Oriental Insurance Company,1138,36811.0,97286.0,Personal Insurance Premium,2018,2019,July,5,Male,31
7533,ICICI Lombard General Insurance,3084,22127.0,47593.0,Commercial Insurance Premium,2018,2019,March,9,Female,24
7534,HDFC ERGO General Insurance,2415,35724.0,60983.0,Personal Insurance Premium,2015,2016,July,5,Male,77
7535,TATA AIG General Insurance,3115,35536.0,86130.0,Commercial Insurance Premium,2018,2019,January,9,Male,73
7536,The Oriental Insurance Company,1033,46764.0,41353.0,Personal Insurance Premium,2016,2017,March,7,Male,50
7539,ICICI Lombard General Insurance,3450,31640.0,74839.0,Personal Insurance Premium,2018,2019,June,9,Female,41
7540,TATA AIG General Insurance,1508,45984.0,72879.0,Commercial Insurance Premium,2016,2017,November,10,Female,69
7541,The Oriental Insurance Company,1973,39381.0,49386.0,Personal Insurance Premium,2018,2019,October,5,Female,59
7542,ICICI Lombard General Insurance,2903,44770.0,40775.0,Personal Insurance Premium,2017,2018,April,1,Male,62
7543,ICICI Lombard General Insurance,4334,34624.0,39840.0,Personal Insurance Premium,2017,2018,July,7,Male,37
7545,TATA AIG General Insurance,3318,21044.0,89608.0,Personal Insurance Premium,2017,2018,February,7,Female,53
7546,ICICI Lombard General Insurance,4129,34024.0,23227.0,Personal Insurance Premium,2014,2015,November,4,Female,67
7547,ICICI Lombard General Insurance,4541,43267.0,44139.0,Personal Insurance Premium,2014,2015,September,6,Male,22
7548,HDFC ERGO General Insurance,4599,21950.0,37436.0,Commercial Insurance Premium,2015,2016,June,7,Female,37
7549,ICICI Lombard General Insurance,1223,41554.0,83083.0,Commercial Insurance Premium,2015,2016,June,8,Male,49
7550,The New India Assurance,2823,24749.0,74493.0,Personal Insurance Premium,2016,2017,November,8,Female,65
7551,The Oriental Insurance Company,1165,29941.0,98041.0,Commercial Insurance Premium,2014,2015,February,8,Female,47
7552,ICICI Lombard General Insurance,2439,38369.0,38278.0,Personal Insurance Premium,2018,2019,September,4,Female,79
7553,The Oriental Insurance Company,3119,47463.0,76043.0,Personal Insurance Premium,2018,2019,July,4,Male,40
7554,The Oriental Insurance Company,3232,21813.0,31865.0,Commercial Insurance Premium,2016,2017,June,8,Female,40
7555,HDFC ERGO General Insurance,4364,24499.0,26940.0,Commercial Insurance Premium,2017,2018,December,4,Male,69
7556,TATA AIG General Insurance,2258,38765.0,20740.0,Commercial Insurance Premium,2018,2019,March,9,Male,48
7558,TATA AIG General Insurance,1159,26935.0,51603.0,Commercial Insurance Premium,2017,2018,February,2,Female,27
7559,The Oriental Insurance Company,2402,21982.0,47666.0,Personal Insurance Premium,2017,2018,August,6,Female,18
7560,ICICI Lombard General Insurance,2207,38773.0,28090.0,Commercial Insurance Premium,2016,2017,May,5,Female,78
7561,HDFC ERGO General Insurance,1349,33533.0,21332.0,Commercial Insurance Premium,2014,2015,April,9,Male,74
7562,ICICI Lombard General Insurance,1741,40205.0,61142.0,Personal Insurance Premium,2015,2016,April,1,Female,45
7563,HDFC ERGO General Insurance,3788,47397.0,41904.0,Personal Insurance Premium,2016,2017,November,10,Female,32
7564,HDFC ERGO General Insurance,4842,20140.0,59837.0,Personal Insurance Premium,2018,2019,December,5,Male,78
7565,TATA AIG General Insurance,4699,37413.0,28974.0,Commercial Insurance Premium,2016,2017,August,5,Female,39
7566,ICICI Lombard General Insurance,2073,21104.0,77199.0,Personal Insurance Premium,2015,2016,February,7,Female,38
7567,The New India Assurance,4673,45135.0,44000.0,Commercial Insurance Premium,2017,2018,September,10,Female,27
7568,The New India Assurance,3161,23515.0,50310.0,Commercial Insurance Premium,2018,2019,November,5,Female,54
7570,The New India Assurance,2755,45895.0,26305.0,Personal Insurance Premium,2014,2015,May,5,Female,30
7571,The Oriental Insurance Company,1636,38714.0,37290.0,Personal Insurance Premium,2015,2016,November,7,Male,27
7573,The Oriental Insurance Company,1105,32434.0,73038.0,Commercial Insurance Premium,2018,2019,May,3,Male,26
7574,The New India Assurance,2924,46175.0,26929.0,Commercial Insurance Premium,2017,2018,January,6,Female,67
7575,ICICI Lombard General Insurance,2478,45917.0,26961.0,Commercial Insurance Premium,2017,2018,August,8,Female,67
7576,ICICI Lombard General Insurance,2101,44207.0,95843.0,Personal Insurance Premium,2018,2019,September,6,Female,20
7577,HDFC ERGO General Insurance,4065,40346.0,72518.0,Personal Insurance Premium,2016,2017,November,7,Male,39
7578,TATA AIG General Insurance,4148,25322.0,91697.0,Commercial Insurance Premium,2018,2019,March,2,Male,64
7581,HDFC ERGO General Insurance,1220,38613.0,48614.0,Personal Insurance Premium,2016,2017,July,6,Female,43
7582,ICICI Lombard General Insurance,4663,45501.0,32088.0,Personal Insurance Premium,2017,2018,May,10,Male,60
7583,The New India Assurance,3253,42422.0,56918.0,Personal Insurance Premium,2014,2015,May,4,Female,22
7585,The Oriental Insurance Company,1189,34457.0,70609.0,Personal Insurance Premium,2014,2015,November,6,Female,36
7586,ICICI Lombard General Insurance,1986,29078.0,34602.0,Commercial Insurance Premium,2017,2018,June,6,Female,44
7587,ICICI Lombard General Insurance,3903,41926.0,66525.0,Personal Insurance Premium,2014,2015,September,8,Female,59
7589,TATA AIG General Insurance,2616,34193.0,30045.0,Commercial Insurance Premium,2018,2019,May,1,Female,30
7590,The Oriental Insurance Company,1535,29860.0,35496.0,Personal Insurance Premium,2017,2018,July,1,Female,74
7591,ICICI Lombard General Insurance,2227,25965.0,76304.0,Commercial Insurance Premium,2014,2015,August,5,Male,39
7592,ICICI Lombard General Insurance,4146,29330.0,89260.0,Personal Insurance Premium,2016,2017,June,7,Female,50
7593,The New India Assurance,2052,24726.0,75286.0,Personal Insurance Premium,2016,2017,November,7,Male,25
7594,The New India Assurance,3809,29671.0,83035.0,Commercial Insurance Premium,2014,2015,June,8,Male,53
7595,ICICI Lombard General Insurance,1216,38144.0,98904.0,Personal Insurance Premium,2016,2017,August,3,Male,59
7598,TATA AIG General Insurance,1636,45507.0,34426.0,Personal Insurance Premium,2017,2018,June,9,Female,20
7599,HDFC ERGO General Insurance,2991,41012.0,64044.0,Personal Insurance Premium,2018,2019,May,5,Female,59
7601,The Oriental Insurance Company,2451,22163.0,64024.0,Commercial Insurance Premium,2014,2015,June,10,Female,71
7603,The New India Assurance,2206,28489.0,76757.0,Commercial Insurance Premium,2016,2017,December,10,Male,30
7604,HDFC ERGO General Insurance,1491,45823.0,42691.0,Commercial Insurance Premium,2017,2018,August,2,Male,73
7605,ICICI Lombard General Insurance,4560,36958.0,85553.0,Personal Insurance Premium,2015,2016,September,1,Male,72
7606,TATA AIG General Insurance,3392,48126.0,94976.0,Commercial Insurance Premium,2016,2017,April,2,Female,73
7607,The Oriental Insurance Company,4964,28773.0,45255.0,Personal Insurance Premium,2018,2019,September,10,Male,31
7608,The Oriental Insurance Company,4966,29369.0,59175.0,Personal Insurance Premium,2017,2018,July,3,Female,70
7610,The Oriental Insurance Company,2621,42566.0,83268.0,Personal Insurance Premium,2017,2018,August,9,Female,40
7611,TATA AIG General Insurance,1835,24330.0,51540.0,Commercial Insurance Premium,2016,2017,May,10,Female,31
7612,The New India Assurance,2308,39573.0,69640.0,Commercial Insurance Premium,2017,2018,May,5,Female,67
7614,ICICI Lombard General Insurance,3876,20039.0,25657.0,Personal Insurance Premium,2015,2016,December,8,Female,27
7615,ICICI Lombard General Insurance,1933,30989.0,63186.0,Commercial Insurance Premium,2017,2018,May,10,Male,58
7616,TATA AIG General Insurance,1989,29300.0,42144.0,Personal Insurance Premium,2015,2016,October,1,Male,78
7617,The New India Assurance,3747,24369.0,95272.0,Commercial Insurance Premium,2015,2016,May,5,Female,23
7618,TATA AIG General Insurance,1355,40229.0,36924.0,Commercial Insurance Premium,2017,2018,May,1,Male,49
7619,ICICI Lombard General Insurance,1555,36617.0,96402.0,Personal Insurance Premium,2016,2017,September,1,Male,39
7620,HDFC ERGO General Insurance,3457,45834.0,81065.0,Commercial Insurance Premium,2015,2016,November,5,Female,29
7621,ICICI Lombard General Insurance,3098,47876.0,50266.0,Commercial Insurance Premium,2015,2016,December,9,Male,64
7623,ICICI Lombard General Insurance,1184,30822.0,43155.0,Personal Insurance Premium,2018,2019,February,2,Male,49
7625,ICICI Lombard General Insurance,3821,22693.0,79277.0,Personal Insurance Premium,2015,2016,October,4,Male,75
7626,The New India Assurance,4617,36551.0,49600.0,Personal Insurance Premium,2018,2019,February,5,Male,20
7627,The Oriental Insurance Company,4888,32485.0,41838.0,Personal Insurance Premium,2016,2017,October,4,Male,62
7628,The New India Assurance,4447,27920.0,47085.0,Commercial Insurance Premium,2016,2017,August,2,Female,28
7629,HDFC ERGO General Insurance,3061,30920.0,36834.0,Commercial Insurance Premium,2018,2019,March,1,Male,44
7630,HDFC ERGO General Insurance,2659,39301.0,47129.0,Personal Insurance Premium,2016,2017,April,2,Male,48
7631,HDFC ERGO General Insurance,1618,45478.0,43773.0,Commercial Insurance Premium,2017,2018,June,2,Male,65
7632,ICICI Lombard General Insurance,1853,24698.0,53493.0,Personal Insurance Premium,2018,2019,July,1,Female,59
7633,ICICI Lombard General Insurance,3766,46546.0,92164.0,Personal Insurance Premium,2017,2018,October,7,Female,38
7634,ICICI Lombard General Insurance,1816,34458.0,97184.0,Commercial Insurance Premium,2018,2019,October,5,Male,27
7635,TATA AIG General Insurance,2974,29336.0,51268.0,Personal Insurance Premium,2015,2016,September,4,Female,76
7636,ICICI Lombard General Insurance,4490,47354.0,88541.0,Commercial Insurance Premium,2014,2015,February,1,Male,28
7638,TATA AIG General Insurance,3498,41253.0,26786.0,Personal Insurance Premium,2016,2017,April,9,Female,26
7639,ICICI Lombard General Insurance,4886,25563.0,93887.0,Personal Insurance Premium,2017,2018,April,1,Female,35
7640,HDFC ERGO General Insurance,3333,27903.0,23756.0,Commercial Insurance Premium,2018,2019,August,7,Female,32
7641,TATA AIG General Insurance,4890,40805.0,48093.0,Personal Insurance Premium,2015,2016,February,8,Female,33
7642,ICICI Lombard General Insurance,3087,41398.0,79875.0,Commercial Insurance Premium,2017,2018,March,9,Male,28
7643,TATA AIG General Insurance,1015,22562.0,75990.0,Personal Insurance Premium,2018,2019,October,9,Male,18
7644,The New India Assurance,3384,47992.0,31578.0,Personal Insurance Premium,2016,2017,March,8,Male,43
7645,The Oriental Insurance Company,2469,20364.0,43692.0,Personal Insurance Premium,2016,2017,April,2,Male,78
7646,The Oriental Insurance Company,1674,22018.0,22440.0,Commercial Insurance Premium,2015,2016,October,7,Male,49
7647,The Oriental Insurance Company,1298,20617.0,86152.0,Commercial Insurance Premium,2016,2017,June,8,Male,39
7648,The New India Assurance,1443,32175.0,46380.0,Commercial Insurance Premium,2018,2019,June,7,Female,45
7649,The New India Assurance,3881,46303.0,76715.0,Personal Insurance Premium,2017,2018,September,10,Male,32
7650,HDFC ERGO General Insurance,1588,47679.0,52051.0,Personal Insurance Premium,2017,2018,April,5,Female,52
7652,The New India Assurance,4649,25966.0,41764.0,Personal Insurance Premium,2017,2018,February,4,Female,42
7653,HDFC ERGO General Insurance,2528,38425.0,57366.0,Commercial Insurance Premium,2014,2015,April,2,Male,34
7654,The Oriental Insurance Company,3547,38074.0,77941.0,Commercial Insurance Premium,2017,2018,April,5,Female,18
7655,The Oriental Insurance Company,2993,28952.0,89792.0,Personal Insurance Premium,2017,2018,April,10,Male,20
7656,TATA AIG General Insurance,2787,23050.0,83251.0,Commercial Insurance Premium,2015,2016,April,6,Male,48
7657,ICICI Lombard General Insurance,2676,21631.0,67490.0,Personal Insurance Premium,2017,2018,July,5,Female,74
7658,The New India Assurance,4617,22448.0,52579.0,Personal Insurance Premium,2015,2016,March,9,Male,36
7659,TATA AIG General Insurance,4407,47302.0,85348.0,Personal Insurance Premium,2016,2017,December,8,Female,41
7660,The New India Assurance,3325,46670.0,93731.0,Commercial Insurance Premium,2016,2017,October,4,Female,48
7661,The New India Assurance,1745,48332.0,28941.0,Commercial Insurance Premium,2016,2017,May,5,Male,48
7662,HDFC ERGO General Insurance,2747,28251.0,20730.0,Personal Insurance Premium,2014,2015,February,7,Male,55
7663,ICICI Lombard General Insurance,2374,34233.0,89729.0,Personal Insurance Premium,2015,2016,August,3,Male,72
7664,The Oriental Insurance Company,2616,40570.0,97985.0,Commercial Insurance Premium,2016,2017,November,5,Male,38
7665,ICICI Lombard General Insurance,3509,49444.0,40430.0,Commercial Insurance Premium,2015,2016,March,9,Male,32
7667,The New India Assurance,1696,37756.0,98290.0,Personal Insurance Premium,2018,2019,June,8,Female,34
7668,The New India Assurance,4851,38889.0,80593.0,Commercial Insurance Premium,2015,2016,March,5,Female,61
7669,HDFC ERGO General Insurance,4508,43995.0,50508.0,Personal Insurance Premium,2016,2017,November,3,Female,76
7670,TATA AIG General Insurance,1362,22196.0,71034.0,Commercial Insurance Premium,2014,2015,September,5,Male,28
7672,ICICI Lombard General Insurance,3406,40507.0,53547.0,Personal Insurance Premium,2016,2017,October,2,Female,29
7673,TATA AIG General Insurance,4637,35909.0,97728.0,Commercial Insurance Premium,2015,2016,October,4,Male,18
7674,HDFC ERGO General Insurance,1353,31971.0,36125.0,Personal Insurance Premium,2015,2016,July,5,Female,38
7675,TATA AIG General Insurance,3259,45683.0,38947.0,Personal Insurance Premium,2014,2015,November,5,Male,36
7676,ICICI Lombard General Insurance,1458,30705.0,58439.0,Personal Insurance Premium,2016,2017,February,3,Female,56
7677,TATA AIG General Insurance,2693,20088.0,57845.0,Personal Insurance Premium,2018,2019,May,9,Female,62
7678,TATA AIG General Insurance,2310,38303.0,79888.0,Personal Insurance Premium,2018,2019,May,1,Male,36
7679,The Oriental Insurance Company,2604,37866.0,25381.0,Personal Insurance Premium,2017,2018,March,10,Male,55
7680,ICICI Lombard General Insurance,2880,28439.0,54504.0,Commercial Insurance Premium,2016,2017,April,4,Female,74
7681,ICICI Lombard General Insurance,1587,32697.0,94341.0,Commercial Insurance Premium,2015,2016,May,6,Female,39
7684,TATA AIG General Insurance,3351,35693.0,92687.0,Personal Insurance Premium,2018,2019,September,3,Male,28
7685,The New India Assurance,3288,39783.0,76784.0,Commercial Insurance Premium,2016,2017,October,8,Male,58
7686,The New India Assurance,4966,35264.0,27735.0,Commercial Insurance Premium,2017,2018,August,6,Male,75
7687,HDFC ERGO General Insurance,2180,39472.0,48946.0,Commercial Insurance Premium,2018,2019,March,9,Female,35
7688,The New India Assurance,4477,33460.0,33981.0,Commercial Insurance Premium,2015,2016,March,1,Female,19
7689,The Oriental Insurance Company,1632,41814.0,56681.0,Personal Insurance Premium,2014,2015,April,2,Female,34
7690,HDFC ERGO General Insurance,2810,21840.0,32270.0,Personal Insurance Premium,2014,2015,October,4,Female,64
7691,HDFC ERGO General Insurance,2671,40443.0,69443.0,Personal Insurance Premium,2015,2016,February,4,Female,37
7692,ICICI Lombard General Insurance,4755,22557.0,65531.0,Personal Insurance Premium,2018,2019,June,9,Female,56
7693,The Oriental Insurance Company,2755,44504.0,60161.0,Commercial Insurance Premium,2018,2019,November,3,Male,31
7694,The Oriental Insurance Company,2851,48764.0,41488.0,Commercial Insurance Premium,2017,2018,November,9,Female,34
7695,The Oriental Insurance Company,3254,36854.0,49026.0,Personal Insurance Premium,2018,2019,July,4,Male,76
7696,The New India Assurance,2659,26792.0,53449.0,Personal Insurance Premium,2016,2017,February,6,Male,45
7697,HDFC ERGO General Insurance,1295,20710.0,75112.0,Personal Insurance Premium,2014,2015,May,4,Female,49
7698,HDFC ERGO General Insurance,3033,40823.0,97949.0,Commercial Insurance Premium,2014,2015,June,7,Female,69
7699,The Oriental Insurance Company,4261,45169.0,21250.0,Commercial Insurance Premium,2014,2015,April,6,Female,77
7700,The New India Assurance,1379,40530.0,58636.0,Commercial Insurance Premium,2017,2018,July,9,Female,37
7701,ICICI Lombard General Insurance,1410,39355.0,24986.0,Commercial Insurance Premium,2018,2019,May,9,Male,50
7702,ICICI Lombard General Insurance,2121,23035.0,26055.0,Commercial Insurance Premium,2014,2015,July,2,Male,22
7703,The New India Assurance,1875,29013.0,39051.0,Personal Insurance Premium,2014,2015,June,2,Female,25
7704,TATA AIG General Insurance,2327,42001.0,42089.0,Commercial Insurance Premium,2016,2017,September,7,Female,57
7705,The Oriental Insurance Company,3272,48250.0,39612.0,Commercial Insurance Premium,2017,2018,October,4,Male,46
7706,TATA AIG General Insurance,1300,42979.0,94390.0,Commercial Insurance Premium,2017,2018,March,5,Female,47
7707,The Oriental Insurance Company,1432,20086.0,75669.0,Commercial Insurance Premium,2018,2019,September,6,Female,65
7709,TATA AIG General Insurance,1067,25979.0,63226.0,Commercial Insurance Premium,2017,2018,January,4,Male,65
7711,The Oriental Insurance Company,3218,26255.0,90756.0,Personal Insurance Premium,2018,2019,April,1,Female,75
7712,HDFC ERGO General Insurance,3575,49807.0,55711.0,Personal Insurance Premium,2015,2016,March,9,Female,66
7713,HDFC ERGO General Insurance,2186,28227.0,36951.0,Commercial Insurance Premium,2017,2018,July,1,Male,47
7716,ICICI Lombard General Insurance,3642,29859.0,82475.0,Personal Insurance Premium,2016,2017,April,10,Male,49
7717,HDFC ERGO General Insurance,2360,38845.0,32476.0,Commercial Insurance Premium,2016,2017,February,5,Female,28
7718,TATA AIG General Insurance,4182,45866.0,53810.0,Personal Insurance Premium,2016,2017,February,1,Female,71
7719,The Oriental Insurance Company,4922,40964.0,74976.0,Commercial Insurance Premium,2017,2018,June,3,Male,47
7721,The New India Assurance,3130,49721.0,35822.0,Personal Insurance Premium,2017,2018,September,7,Male,36
7724,The Oriental Insurance Company,4616,29693.0,38818.0,Commercial Insurance Premium,2018,2019,June,6,Female,61
7726,ICICI Lombard General Insurance,2120,20958.0,50603.0,Personal Insurance Premium,2015,2016,June,3,Male,56
7727,HDFC ERGO General Insurance,1144,30095.0,59235.0,Commercial Insurance Premium,2014,2015,December,3,Male,69
7728,TATA AIG General Insurance,3709,46989.0,30183.0,Commercial Insurance Premium,2015,2016,March,7,Female,20
7729,HDFC ERGO General Insurance,3541,33127.0,83605.0,Personal Insurance Premium,2015,2016,August,8,Female,53
7730,The Oriental Insurance Company,2889,41711.0,47444.0,Commercial Insurance Premium,2014,2015,July,10,Female,24
7731,TATA AIG General Insurance,2995,32233.0,99059.0,Commercial Insurance Premium,2017,2018,March,9,Female,38
7732,HDFC ERGO General Insurance,1303,24378.0,42372.0,Personal Insurance Premium,2018,2019,December,1,Male,58
7734,HDFC ERGO General Insurance,4999,25280.0,84101.0,Personal Insurance Premium,2016,2017,February,6,Female,54
7735,ICICI Lombard General Insurance,1260,30147.0,83794.0,Personal Insurance Premium,2016,2017,February,8,Female,75
7737,The Oriental Insurance Company,3223,33886.0,21451.0,Commercial Insurance Premium,2016,2017,September,10,Male,78
7739,The New India Assurance,4143,30329.0,95143.0,Personal Insurance Premium,2014,2015,October,3,Female,74
7740,The New India Assurance,3942,28090.0,30008.0,Commercial Insurance Premium,2017,2018,May,1,Female,33
7741,TATA AIG General Insurance,4178,26223.0,38381.0,Commercial Insurance Premium,2017,2018,June,9,Male,48
7742,ICICI Lombard General Insurance,4947,37920.0,58886.0,Personal Insurance Premium,2016,2017,October,5,Female,56
7745,The Oriental Insurance Company,2258,30606.0,40456.0,Commercial Insurance Premium,2015,2016,March,5,Male,48
7746,TATA AIG General Insurance,4339,29853.0,56624.0,Personal Insurance Premium,2016,2017,November,7,Female,27
7747,TATA AIG General Insurance,1528,31073.0,94299.0,Commercial Insurance Premium,2015,2016,January,10,Male,18
7748,ICICI Lombard General Insurance,4193,44091.0,99956.0,Commercial Insurance Premium,2017,2018,July,2,Female,71
7749,ICICI Lombard General Insurance,2900,22607.0,38892.0,Commercial Insurance Premium,2016,2017,September,7,Female,29
7750,The New India Assurance,1512,40860.0,83325.0,Commercial Insurance Premium,2017,2018,February,5,Male,63
7751,The Oriental Insurance Company,4342,48490.0,74799.0,Personal Insurance Premium,2018,2019,November,1,Female,47
7752,TATA AIG General Insurance,2729,49787.0,51533.0,Personal Insurance Premium,2015,2016,September,1,Male,79
7755,ICICI Lombard General Insurance,1081,42570.0,82740.0,Commercial Insurance Premium,2015,2016,June,9,Female,48
7757,The Oriental Insurance Company,2842,45966.0,55752.0,Commercial Insurance Premium,2014,2015,March,6,Female,48
7758,TATA AIG General Insurance,2106,21467.0,37418.0,Commercial Insurance Premium,2018,2019,March,10,Male,34
7759,The New India Assurance,3992,45506.0,67260.0,Personal Insurance Premium,2017,2018,April,6,Female,79
7760,ICICI Lombard General Insurance,3775,46126.0,71344.0,Commercial Insurance Premium,2016,2017,May,7,Male,25
7762,HDFC ERGO General Insurance,1895,38733.0,75898.0,Commercial Insurance Premium,2017,2018,April,3,Male,50
7765,HDFC ERGO General Insurance,1030,22254.0,81253.0,Personal Insurance Premium,2016,2017,February,8,Female,51
7766,ICICI Lombard General Insurance,4931,39066.0,38068.0,Commercial Insurance Premium,2016,2017,March,3,Female,32
7768,The Oriental Insurance Company,4338,40399.0,60046.0,Commercial Insurance Premium,2017,2018,March,3,Female,26
7769,The New India Assurance,2890,26434.0,35339.0,Personal Insurance Premium,2016,2017,November,6,Female,43
7770,ICICI Lombard General Insurance,3546,41357.0,85108.0,Commercial Insurance Premium,2016,2017,June,4,Female,45
7771,The New India Assurance,2453,49363.0,28254.0,Commercial Insurance Premium,2017,2018,January,9,Female,30
7772,HDFC ERGO General Insurance,3450,21819.0,59747.0,Personal Insurance Premium,2014,2015,May,7,Male,50
7773,HDFC ERGO General Insurance,3238,24798.0,77899.0,Personal Insurance Premium,2014,2015,July,5,Female,43
7774,The New India Assurance,2690,48565.0,24023.0,Personal Insurance Premium,2014,2015,November,2,Female,47
7775,The New India Assurance,2136,40006.0,40023.0,Personal Insurance Premium,2017,2018,February,9,Female,64
7776,TATA AIG General Insurance,2098,41903.0,88783.0,Personal Insurance Premium,2018,2019,January,10,Female,38
7777,ICICI Lombard General Insurance,2707,49921.0,98522.0,Commercial Insurance Premium,2016,2017,September,10,Female,29
7778,The Oriental Insurance Company,1665,20582.0,91476.0,Personal Insurance Premium,2018,2019,November,6,Female,47
7779,TATA AIG General Insurance,3318,39963.0,51862.0,Personal Insurance Premium,2017,2018,November,6,Male,57
7780,The Oriental Insurance Company,1522,38365.0,84379.0,Commercial Insurance Premium,2015,2016,December,2,Female,21
7781,TATA AIG General Insurance,1787,26040.0,48212.0,Commercial Insurance Premium,2017,2018,August,3,Male,48
